Asset Name;Model;Model No.;Category;Manufacturer;Serial;Purchased;Location;Checked Out;Type;Username;Status;Created At;Updated at;Notes;MAC Adress;Type utilisation;Propriété SI;Propriété;Date fin garantie
032P-CH01-006;Latitude;3380;Portable;DELL INC.;FYJJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:04;mise a jour du nom et de la date d'achat par script;544810DA0E43;Lab Chariot / Mobile;;;
032P-CH01-007;Latitude;3380;Portable;DELL INC.;2ZJJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:46;mise a jour du nom et de la date d'achat par script;544810DA12AD;Lab Chariot / Mobile;;;
032P-CH01-008;Latitude;3380;Portable;DELL INC.;80KJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:37;mise a jour du nom et de la date d'achat par script;544810DA128B;Lab Chariot / Mobile;;;
032P-CH01-009;Latitude;3380;Portable;DELL INC.;7RHJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:53;mise a jour du nom et de la date d'achat par script;544810DA129F;Lab Chariot / Mobile;;;
032P-CH01-010;Latitude;3380;Portable;DELL INC.;GDKJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:35;mise a jour du nom et de la date d'achat par script;544810DA0F23;Lab Chariot / Mobile;;;
032P-CH01-011;Latitude;3380;Portable;DELL INC.;41KJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:13;mise a jour du nom et de la date d'achat par script;544810DA11BB;Lab Chariot / Mobile;;;
032P-CH01-012;Latitude;3380;Portable;DELL INC.;8ZJJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:47;mise a jour du nom et de la date d'achat par script;544810DA0E59;Lab Chariot / Mobile;;;
032P-CH01-013;Latitude;3380;Portable;DELL INC.;7FKJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:50;mise a jour du nom et de la date d'achat par script;544810DA128F;Lab Chariot / Mobile;;;
032P-CH01-014;Latitude;3380;Portable;DELL INC.;CFKJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:32;mise a jour du nom et de la date d'achat par script;544810DA0FA3;Lab Chariot / Mobile;;;
032P-CH01-015;Latitude;3380;Portable;DELL INC.;DYJJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:51;mise a jour du nom et de la date d'achat par script;544810DA12D5;Lab Chariot / Mobile;;;
032P-CH01-016;Latitude;3380;Portable;DELL INC.;G0KJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:52;mise a jour du nom et de la date d'achat par script;544810DA12BD;Lab Chariot / Mobile;;;
032P-CH01-017;Latitude;3380;Portable;DELL INC.;48JJ0P2;10/2/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 11:18;mise a jour du nom et de la date d'achat par script;544810DA0E5B;Lab Chariot / Mobile;;;
032P-CH01-018;Latitude;3380;Portable;DELL INC.;FSHJ0P2;10/2/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 11:26;mise a jour du nom et de la date d'achat par script;544810DA120D;Lab Chariot / Mobile;;;
032P-CH01-019;Latitude;3380;Portable;DELL INC.;6RHJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:48;mise a jour du nom et de la date d'achat par script;544810DA121D;Lab Chariot / Mobile;;;
032P-CH01-020;Latitude;3380;Portable;DELL INC.;DRHJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:40;mise a jour du nom et de la date d'achat par script;544810DA1225;Lab Chariot / Mobile;;;
032P-CH01-021;Latitude;3380;Portable;DELL INC.;BFKJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:50;mise a jour du nom et de la date d'achat par script;544810DA0FA5;Lab Chariot / Mobile;;;
030P-30810-LEFG;Latitude;5490;Portable;DELL INC.;HFFQSQ2;9/9/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:50;mise a jour du nom et de la date d'achat par script;DCA2664B2174;Mesure 30810;;;
005P-30810-JODA;Latitude;5490;Portable;DELL INC.;1R7QSQ2;9/9/2018 0:00;005 - La Frontaliere;005 - La Frontaliere;location;;Distribué (deployed);2/18/2019 15:04;6/27/2023 14:07;mise a jour du nom et de la date d'achat par script;E4B97A22ED37;Mesure 30810;;Service Informatique;
030P-30810-BRAL;Latitude;E5550;Portable;DELL INC.;J2FYP72;7/13/2016 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;10/10/2019 9:42;;847BEB247E7F;Mesure 30810;;;
;Chromebook 11;3180;Chromebook;DELL INC.;5K81MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:05;modif Chromebook par script;N/A;;;;
005C-CH03-002;Chromebook 11;3180;Chromebook;DELL INC.;CKK1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:51;;N/A;Lab Chariot / Mobile;;;
005C-CH03-003;Chromebook 11;3180;Chromebook;DELL INC.;BD5TLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:51;;N/A;Lab Chariot / Mobile;;;
;Chromebook 11;3180;Chromebook;DELL INC.;3WG1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:50;modif Chromebook par script;N/A;;;;
005C-CH03-005;Chromebook 11;3180;Chromebook;DELL INC.;HMMSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:31;;N/A;Lab Chariot / Mobile;;;
005C-CH03-006;Chromebook 11;3180;Chromebook;DELL INC.;FMC1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:31;;N/A;Lab Chariot / Mobile;;;
005C-CH03-007;Chromebook 11;3180;Chromebook;DELL INC.;8NG1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:20;;N/A;Lab Chariot / Mobile;;;
005C-CH03-008;Chromebook 11;3180;Chromebook;DELL INC.;CNK1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:26;;N/A;Lab Chariot / Mobile;;;
005C-CH03-009;Chromebook 11;3180;Chromebook;DELL INC.;2PG1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:26;;N/A;Lab Chariot / Mobile;;;
005C-CH03-010;Chromebook 11;3180;Chromebook;DELL INC.;FVZSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:53;;N/A;Lab Chariot / Mobile;;;
005C-CH03-011;Chromebook 11;3180;Chromebook;DELL INC.;B6GSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:52;modif Chromebook par script;N/A;Lab Chariot / Mobile;;;
005C-CH03-012;Chromebook 11;3180;Chromebook;DELL INC.;4NZSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:52;;N/A;Lab Chariot / Mobile;;;
005C-CH03-013;Chromebook 11;3180;Chromebook;DELL INC.;49TSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:52;;N/A;Lab Chariot / Mobile;;;
005C-CH03-014;Chromebook 11;3180;Chromebook;DELL INC.;7LC1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:51;;N/A;Lab Chariot / Mobile;;;
005C-CH03-015;Chromebook 11;3180;Chromebook;DELL INC.;DRG1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:26;;N/A;Lab Chariot / Mobile;;;
005C-CH03-016;Chromebook 11;3180;Chromebook;DELL INC.;695TLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:49;;N/A;Lab Chariot / Mobile;;;
005C-CH03-017;Chromebook 11;3180;Chromebook;DELL INC.;6F51MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:44;modif Chromebook par script;N/A;Lab Chariot / Mobile;;;
005C-CH03-018;Chromebook 11;3180;Chromebook;DELL INC.;26N1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:44;;N/A;Lab Chariot / Mobile;;;
005C-CH03-019;Chromebook 11;3180;Chromebook;DELL INC.;JC51MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:44;;N/A;Lab Chariot / Mobile;;;
005C-CH03-020;Chromebook 11;3180;Chromebook;DELL INC.;CJ81MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:43;;N/A;Lab Chariot / Mobile;;;
005C-CH03-021;Chromebook 11;3180;Chromebook;DELL INC.;HLZSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:35;;N/A;Lab Chariot / Mobile;;;
005C-CH03-022;Chromebook 11;3180;Chromebook;DELL INC.;BQG1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:28;;N/A;Lab Chariot / Mobile;;;
005C-CH03-023;Chromebook 11;3180;Chromebook;DELL INC.;8RC1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:28;;N/A;Lab Chariot / Mobile;;;
005C-CH03-024;Chromebook 11;3180;Chromebook;DELL INC.;CWZSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:28;;N/A;Lab Chariot / Mobile;;;
005C-CH03-025;Chromebook 11;3180;Chromebook;DELL INC.;2F21MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:34;;N/A;Lab Chariot / Mobile;;;
005C-CH03-026;Chromebook 11;3180;Chromebook;DELL INC.;7F5TLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:34;;N/A;Lab Chariot / Mobile;;;
005C-CH03-027;Chromebook 11;3180;Chromebook;DELL INC.;5CTSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:27;;N/A;Lab Chariot / Mobile;;;
005C-CH03-028;Chromebook 11;3180;Chromebook;DELL INC.;1QG1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:03;;N/A;Lab Chariot / Mobile;;;
005C-CH03-029;Chromebook 11;3180;Chromebook;DELL INC.;5BTSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:34;;N/A;Lab Chariot / Mobile;;;
005C-CH03-030;Chromebook 11;3180;Chromebook;DELL INC.;JJ81MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:34;;N/A;Lab Chariot / Mobile;;;
005C-CH03-031;Chromebook 11;3180;Chromebook;DELL INC.;2NG1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:20;;N/A;Lab Chariot / Mobile;;;
005C-CH03-032;Chromebook 11;3180;Chromebook;DELL INC.;7951MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:03;;N/A;Lab Chariot / Mobile;;;
005C-CH03-033;Chromebook 11;3180;Chromebook;DELL INC.;J4TSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;3/7/2024 11:23;;N/A;Lab Chariot / Mobile;;;
005C-CH03-034;Chromebook 11;3180;Chromebook;DELL INC.;2PZSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:32;;N/A;Lab Chariot / Mobile;;;
005C-CH03-035;Chromebook 11;3180;Chromebook;DELL INC.;3DK1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:33;;N/A;Lab Chariot / Mobile;;;
005C-CH03-036;Chromebook 11;3180;Chromebook;DELL INC.;6LK1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:06;;N/A;Lab Chariot / Mobile;;;
005C-CH03-037;Chromebook 11;3180;Chromebook;DELL INC.;HJC1MQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:21;;N/A;Lab Chariot / Mobile;;;
005C-CH03-038;Chromebook 11;3180;Chromebook;DELL INC.;G5TSLQ2;9/28/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 9:17;;N/A;Lab Chariot / Mobile;;;
030P-CH01-001;Latitude;3380;Portable;DELL INC.;88JJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:35;mise a jour du nom et de la date d'achat par script;544810D75F01;Lab Chariot / Mobile;;;
030P-CH01-002;Latitude;3380;Portable;DELL INC.;5THJ0P2;10/2/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 11:14;mise a jour du nom et de la date d'achat par script;544810DA12E7;Lab Chariot / Mobile;;;
030P-CH01-003;Latitude;3380;Portable;DELL INC.;8THJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:08;mise a jour du nom et de la date d'achat par script;544810DA122B;Lab Chariot / Mobile;;;
030P-CH01-004;Latitude;3380;Portable;DELL INC.;BTHJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Déployable (deployed);2/18/2019 15:04;2/11/2022 15:24;mise a jour du nom et de la date d'achat par script;544810DA121B;Lab Chariot / Mobile;;;
030P-CH01-005;Latitude;3380;Portable;DELL INC.;5SHJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:37;mise a jour du nom et de la date d'achat par script;544810D76035;Lab Chariot / Mobile;;;
030P-CH01-006;Latitude;3380;Portable;DELL INC.;CSHJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:24;mise a jour du nom et de la date d'achat par script;544810D75E4D;Lab Chariot / Mobile;;;
030P-CH01-007;Latitude;3380;Portable;DELL INC.;8SHJ0P2;10/2/2018 0:00;097 - Entrepot Centre Coaticook;;;;Retiré (archived);2/18/2019 15:04;2/21/2024 11:17;mise a jour du nom et de la date d'achat par script;54-48-10-D7-5E-F8;Lab Chariot / Mobile;;;
030P-CH01-008;Latitude;3380;Portable;DELL INC.;CDKJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:13;mise a jour du nom et de la date d'achat par script;544810DA1249;Lab Chariot / Mobile;;;
030P-CH01-009;Latitude;3380;Portable;DELL INC.;7ZJJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:42;mise a jour du nom et de la date d'achat par script;544810DA12D3;Lab Chariot / Mobile;;;
030P-CH01-010;Latitude;3380;Portable;DELL INC.;HDKJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:33;mise a jour du nom et de la date d'achat par script;544810DA0F79;Lab Chariot / Mobile;;;
030P-CH01-011;Latitude;3380;Portable;DELL INC.;57JJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;6/22/2023 10:21;mise a jour du nom et de la date d'achat par script;54-48-10-DA-0E-50;Lab Chariot / Mobile;;;
030P-CH01-012;Latitude;3380;Portable;DELL INC.;CRHJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:35;mise a jour du nom et de la date d'achat par script;544810D76009;Lab Chariot / Mobile;;;
030P-CH01-013;Latitude;3380;Portable;DELL INC.;6FKJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:49;mise a jour du nom et de la date d'achat par script;544810DA1291;Lab Chariot / Mobile;;;
030P-CH01-014;Latitude;3380;Portable;DELL INC.;9FKJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:34;mise a jour du nom et de la date d'achat par script;544810DA1207;Lab Chariot / Mobile;;;
030P-CH01-015;Latitude;3380;Portable;DELL INC.;97JJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:48;mise a jour du nom et de la date d'achat par script;544810DA1079;Lab Chariot / Mobile;;;
030P-CH01-016;Latitude;3380;Portable;DELL INC.;71KJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:33;mise a jour du nom et de la date d'achat par script;544810DA11BD;Lab Chariot / Mobile;;;
030P-CH01-017;Latitude;3380;Portable;DELL INC.;70KJ0P2;10/2/2018 0:00;030 - Saint-Luc;030 - Saint-Luc;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:43;mise a jour du nom et de la date d'achat par script;544810DA10B5;Lab Chariot / Mobile;;;
036P-CH01-001;Latitude;3380;Portable;DELL INC.;H6JJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:53;mise a jour du nom et de la date d'achat par script;544810DA11E7;Lab Chariot / Mobile;;;
036P-CH01-002;Latitude;3380;Portable;DELL INC.;81KJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:43;mise a jour du nom et de la date d'achat par script;544810DA0F2B;Lab Chariot / Mobile;;;
036P-CH01-003;Latitude;3380;Portable;DELL INC.;G8JJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:49;mise a jour du nom et de la date d'achat par script;544810D75F25;Lab Chariot / Mobile;;;
036P-CH01-004;Latitude;3380;Portable;DELL INC.;D0KJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:46;mise a jour du nom et de la date d'achat par script;544810DA107F;Lab Chariot / Mobile;;;
036P-CH01-005;Latitude;3380;Portable;DELL INC.;F0KJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:32;mise a jour du nom et de la date d'achat par script;544810DA128D;Lab Chariot / Mobile;;;
036P-CH01-006;Latitude;3380;Portable;DELL INC.;79JJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:13;mise a jour du nom et de la date d'achat par script;544810D7601B;Lab Chariot / Mobile;;;
036P-CH01-007;Latitude;3380;Portable;DELL INC.;5ZJJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:55;mise a jour du nom et de la date d'achat par script;544810DA1263;Lab Chariot / Mobile;;;
036P-CH01-008;Latitude;3380;Portable;DELL INC.;4FKJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:40;mise a jour du nom et de la date d'achat par script;544810DA0F25;Lab Chariot / Mobile;;;
036P-CH01-009;Latitude;3380;Portable;DELL INC.;HYJJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:50;mise a jour du nom et de la date d'achat par script;544810DA0E45;Lab Chariot / Mobile;;;
036P-CH01-010;Latitude;3380;Portable;DELL INC.;DTHJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:39;mise a jour du nom et de la date d'achat par script;544810DA11F3;Lab Chariot / Mobile;;;
036P-CH01-011;Latitude;3380;Portable;DELL INC.;1THJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:49;mise a jour du nom et de la date d'achat par script;544810DA0E5F;Lab Chariot / Mobile;;;
036P-CH01-012;Latitude;3380;Portable;DELL INC.;28JJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:35;mise a jour du nom et de la date d'achat par script;544810DA1277;Lab Chariot / Mobile;;;
036P-CH01-013;Latitude;3380;Portable;DELL INC.;HRHJ0P2;10/1/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:39;mise a jour du nom et de la date d'achat par script;544810DA1073;Lab Chariot / Mobile;;;
036P-CH01-014;Latitude;3380;Portable;DELL INC.;5FKJ0P2;10/2/2018 0:00;036 - Notre-Dame-de-toutes-Aides;036 - Notre-Dame-de-toutes-Aides;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:07;mise a jour du nom et de la date d'achat par script;544810DA1187;Lab Chariot / Mobile;;;
